commodity,quantity
1,6
2,7
3,6
4,7
5,2
6,3
7,8
8,2
9,5
10,7
11,2
12,6
13,9
14,5
15,8
16,10
17,2
18,1
19,7
20,8
21,2
22,9
23,8
24,2
25,7
26,6
27,10
28,9
29,4
30,4
31,7
32,1
33,6
34,1
35,3
36,6
37,6
38,8
39,6
40,1
41,2
42,4
43,3
44,7
45,7
46,8
47,9
48,5
49,9
50,4
51,4
52,3
53,8
54,4
55,4
56,1
57,8
58,10
59,8
60,10
61,4
62,7
63,4
64,2
65,10
66,10
67,9
68,2
69,6
70,2
71,7
72,6
73,8
74,10
75,4
76,10
77,4
78,5
79,4
80,2
81,3
82,1
83,6
84,4
85,9
86,3
87,10
88,6
89,6
90,1
91,10
92,10
93,10
94,10
95,2
96,3
97,1
98,1
99,1
100,9
101,7
102,3
103,9
104,7
105,4
106,10
107,3
108,1
109,10
110,10
111,7
112,6
113,1
114,10
115,7
116,9
117,5
118,9
119,7
120,6
121,5
122,4
123,5
124,2
125,4
126,4
127,1
128,1
129,9
130,6
131,1
132,9
133,5
134,7
135,2
136,7
137,5
138,1
139,2
140,5
141,8
142,4
143,1
144,9
145,2
146,7
147,7
148,6
149,10
150,9
151,3
152,2
153,7
154,3
155,1
156,10
157,10
158,1
159,10
160,4
161,7
162,7
163,5
164,7
165,9
166,1
167,3
168,10
169,6
170,7
171,6
172,6
173,7
174,1
175,1
176,9
177,7
178,9
179,3
180,4
181,7
182,7
183,5
184,2
185,6
186,10
187,2
188,2
189,10
190,8
191,3
192,3
193,3
194,2
195,1
196,1
197,5
198,3
199,8
200,3
201,2
202,3
203,6
204,10
205,8
206,5
207,3
208,3
209,9
210,7
211,10
212,8
213,5
214,8
215,10
216,1
217,2
218,8
219,2
220,3
221,10
222,6
223,9
224,7
225,1
226,3
227,2
228,10
229,8
230,7
231,10
232,6
233,3
234,8
235,6
236,1
237,9
238,10
239,4
240,9
241,7
242,10
243,9
244,2
245,8
246,2
247,2
248,3
249,9
250,9
251,3
252,6
253,5
254,7
255,5
256,5
257,10
258,7
259,7
260,9
261,8
262,1
263,7
264,9
265,10
266,8
267,10
268,7
269,1
270,6
271,7
272,3
273,10
274,8
275,10
276,9
277,1
278,6
279,6
280,9
281,4
282,10
283,2
284,10
285,10
286,9
287,7
288,6
289,9
290,4
291,10
292,5
293,2
294,9
295,8
296,2
297,9
298,5
299,8
300,5
301,6
302,10
303,4
304,6
305,5
306,1
307,1
308,5
309,2
310,7
311,2
312,10
313,8
314,10
315,9
316,4
317,8
318,8
319,7
320,8
321,4
322,2
323,6
324,10
325,7
326,7
327,2
328,9
329,2
330,2
331,2
332,7
333,4
334,3
335,10
336,2
337,9
338,1
339,8
340,1
341,9
342,1
343,4
344,2
345,8
346,4
347,6
348,2
349,7
350,5
351,9
352,9
353,5
354,6
355,5
356,5
357,1
358,8
359,8
360,8
361,3
362,9
363,2
364,2
365,8
366,6
367,5
368,1
369,3
370,1
371,1
372,5
373,3
374,5
375,8
376,1
377,6
378,8
379,8
380,9
381,8
382,4
383,7
384,8
385,3
386,5
387,1
388,1
389,5
390,1
391,4
392,7
393,2
394,10
395,1
396,8
397,1
398,4
399,9
400,4
